,counter_id,daily_range_high,daily_range_low,ticker,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time,name
0,1,138.97,137.94,AIRTEL,0,137.96,138.54,137.98,79004,2,1.45,2.81,35.53,47.26,1517780,42722.11,11000000000,9/19/2025,14:37:47,AIRTEL MALAWI PLC
1,2,15.02,15.02,BHL,15.02,0,15.02,15.02,7042,0,0,-1.55,-64.44,1.36,88291.39,-1370.11,5878254935,9/19/2025,14:37:47,BLANTYRE HOTELS PLC
2,3,637.95,637.91,FDHB,635,637.92,637.95,637.93,101411,4.73,0.74,1.68,59.44,45.2,4402374.87,74063,6901031250,9/19/2025,14:37:47,FDH BANK PLC
3,4,1897.99,1897.99,FMBCH,1897.99,0,1897.99,1897.99,15133,3.64,0.19,2.53,39.45,14.18,4665733.92,118254.74,2458250000,9/19/2025,14:37:47,FMB CAPITAL HOLDINGS PLC
4,5,17.94,17.94,ICON,0,17.94,17.94,17.94,18168,0.29,1.62,20.38,4.91,0.82,119839.2,24424.49,6680000000,9/19/2025,14:37:47,ICON PROPERTIES PLC
5,6,,,ILLOVO,1791.47,0,1791.47,1791.47,0,5,0.28,1.77,56.47,8.59,1278114.22,22632,713444391,9/19/2025,14:37:47,ILLOVO SUGAR MALAWI PLC
6,7,19.55,19.55,MPICO,19.54,19.55,19.55,19.55,75077,0.43,2.2,19.01,5.26,0.69,44926.83,8540.17,2298047460,9/19/2025,14:37:47,MALAWI PROPERTY INVESTMENT COMPANY PLC
7,8,10800.01,10800,NBM,10800.01,0,10779.48,10800.01,80,126.35,1.17,2.03,49.3,18.78,5042867.44,102283,466931738,9/19/2025,14:37:47,NATIONAL BANK OF MALAWI
8,9,1024.72,1024.7,NBS,0,1024.72,1024.72,1024.71,144400,10.9,1.06,2.45,40.86,26.61,2982493.62,72991,2910573356,9/19/2025,14:37:47,NBS BANK PLC
9,10,1739.93,1739.91,NICO,0,1739.91,1739.94,1739.92,102670,20,1.15,3.97,25.2,11.66,1814808.06,72009,1043041096,9/19/2025,14:37:47,NICO HOLDINGS PLC
10,11,2541.87,2541.86,NITL,2541.87,0,2210.32,2541.87,3000,11.1,0.44,8.67,11.53,4.65,343152.45,29759.48,135000000,9/19/2025,14:37:47,NATIONAL INVESTMENT TRUST PLC
11,12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/19/2025,14:37:47,OLD MUTUAL LIMITED
12,13,6600,6600,PCL,0,6600,6600,6600,862,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/19/2025,14:37:47,PRESS CORPORATION PLC
13,14,6483.5,6481.97,STANDARD,0,6481.97,6485.64,6482.51,4748,161.93,2.5,1.14,88.07,29.28,7606193.53,86365,1173340810,9/19/2025,14:37:47,STANDARD BANK MALAWI PLC
14,15,500.05,500.01,SUNBIRD,500,0,460.02,500.04,31008,13,2.6,8.12,12.31,1.87,130801.75,10624.63,261582580,9/19/2025,14:37:47,SUNBIRD TOURISM PLC
15,16,34.84,29.98,TNM,30,34.83,34.84,31.35,112308,0,0,2.78,35.97,6.98,361816.63,10060,11541200375,9/19/2025,14:37:47,TELEKOM NETWORKS MALAWI PLC
16,1,138.97,137.96,AIRTEL,137.96,138.97,137.95,138.54,1070226,2,1.44,2.8,35.67,47.45,1523940,42722.11,11000000000,9/18/2025,14:49:27,AIRTEL MALAWI PLC
17,2,15.02,15.02,BHL,0,15.02,15.02,15.02,192958,0,0,-1.55,-64.44,1.36,88291.39,-1370.11,5878254935,9/18/2025,14:49:27,BLANTYRE HOTELS PLC
18,3,637.96,637.92,FDHB,600,637.94,637.94,637.95,300577,4.73,0.74,1.68,59.44,45.2,4402512.89,74063,6901031250,9/18/2025,14:49:27,FDH BANK PLC
19,4,1897.99,1897.98,FMBCH,1897.98,1897.99,1897.97,1897.99,1939,3.64,0.19,2.53,39.45,14.18,4665733.92,118254.74,2458250000,9/18/2025,14:49:27,FMB CAPITAL HOLDINGS PLC
20,5,17.94,17.94,ICON,0,17.94,17.95,17.94,1554,0.29,1.62,20.38,4.91,0.82,119839.2,24424.49,6680000000,9/18/2025,14:49:27,ICON PROPERTIES PLC
21,6,,,ILLOVO,1791.47,0,1791.47,1791.47,0,5,0.28,1.77,56.47,8.59,1278114.22,22632,713444391,9/18/2025,14:49:27,ILLOVO SUGAR MALAWI PLC
22,7,19.55,19.55,MPICO,19.54,19.55,19.55,19.55,590575,0.43,2.2,19.01,5.26,0.69,44926.83,8540.17,2298047460,9/18/2025,14:49:27,MALAWI PROPERTY INVESTMENT COMPANY PLC
23,8,10800,9427.02,NBM,10800,0,9427,10779.48,204312,126.35,1.17,2.03,49.21,18.75,5033281.33,102283,466931738,9/18/2025,14:49:27,NATIONAL BANK OF MALAWI
24,9,1024.73,1024.7,NBS,0,1024.72,1024.71,1024.72,347625,10.9,1.06,2.45,40.86,26.61,2982522.73,72991,2910573356,9/18/2025,14:49:27,NBS BANK PLC
25,10,1739.98,1739.92,NICO,0,1739.93,1739.96,1739.94,94047,20,1.15,3.97,25.2,11.66,1814828.92,72009,1043041096,9/18/2025,14:49:27,NICO HOLDINGS PLC
26,11,2210.32,2210.32,NITL,2210.32,0,2210.18,2210.32,106,11.1,0.5,9.97,10.03,4.05,298393.2,29759.48,135000000,9/18/2025,14:49:27,NATIONAL INVESTMENT TRUST PLC
27,12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/18/2025,14:49:27,OLD MUTUAL LIMITED
28,13,6600,6600,PCL,0,6600,6600,6600,4221,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/18/2025,14:49:27,PRESS CORPORATION PLC
29,14,6486,6483.99,STANDARD,0,6483.5,6487.14,6485.64,11850,161.93,2.5,1.13,88.11,29.29,7609866.09,86365,1173340810,9/18/2025,14:49:27,STANDARD BANK MALAWI PLC
30,15,,,SUNBIRD,500,0,460.02,460.02,0,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/18/2025,14:49:27,SUNBIRD TOURISM PLC
31,16,34.99,29.97,TNM,0,29.98,34.99,34.84,32932,0,0,2.5,39.97,7.75,402095.42,10060,11541200375,9/18/2025,14:49:27,TELEKOM NETWORKS MALAWI PLC
32,1,137.95,137.95,AIRTEL,0,137.95,137.96,137.95,7509,2,1.45,2.82,35.52,47.25,1517450,42722.11,11000000000,9/17/2025,14:49:11,AIRTEL MALAWI PLC
33,2,,,BHL,,,15.02,15.02,0,0,0,-1.55,-64.44,1.36,88291.39,-1370.11,5878254935,9/17/2025,14:49:11,BLANTYRE HOTELS PLC
34,3,637.96,637.88,FDHB,637.96,0,637.95,637.94,934216,4.73,0.74,1.68,59.44,45.2,4402443.88,74063,6901031250,9/17/2025,14:49:11,FDH BANK PLC
35,4,1897.98,1897.97,FMBCH,1897.98,0,1897.96,1897.97,1538,3.64,0.19,2.53,39.45,14.18,4665684.75,118254.74,2458250000,9/17/2025,14:49:11,FMB CAPITAL HOLDINGS PLC
36,5,,,ICON,0,17.94,17.95,17.95,0,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,9/17/2025,14:49:11,ICON PROPERTIES PLC
